Country Name,Country Code,Indicator Name,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,Bank overhead costs to total assets (%),5.49604,6.03932,3.479,4.52654,4.20954,3.8448,3.62373,3.36178,3.15006
Afghanistan,AFG,Bank regulatory capital to risk-weighted assets (%),,,,,,,,,
Afghanistan,AFG,"Bank return on assets (%, after tax)",2.14344,1.23836,0.766775,,0.284938,0.56277,0.466695,,1.56259
Afghanistan,AFG,"Bank return on assets (%, before tax)",2.75981,1.6049,0.798694,,0.584539,0.810591,0.605692,-0.021947,1.93454
Afghanistan,AFG,"Bank return on equity (%, after tax)",15.0635,8.766,4.89186,,11.3692,8.26648,6.64126,,14.8124
Afghanistan,AFG,"Bank return on equity (%, before tax)",19.3952,11.3606,5.09549,,14.6359,10.8612,8.11002,-0.051878,18.3383
Afghanistan,AFG,Bank Z-score,12.3675,16.551,15.471,11.7681,11.7151,11.7729,10.2896,10.4802,12.1261
Afghanistan,AFG,"Banking crisis dummy (1=banking crisis, 0=none)",0,0,0,0,,,,,
Afghanistan,AFG,Boone indicator,-0.043298,-0.0509,-0.043627,-0.007185,-0.015763,-0.010106,-0.057962,,
Afghanistan,AFG,Central bank assets to GDP (%),,1.14895,1.86507,1.50092,2.13543,2.89567,2.6009,2.4204,2.07243
Afghanistan,AFG,Checks used to make payments (% age 15+),,,,0.484496,,,,,
Afghanistan,AFG,Consolidated foreign claims of BIS reporting banks to GDP (%),,,,,,,,,
Afghanistan,AFG,"Consumer price index (2010=100, average)",108.067,99.1154,100,110.202,118.156,127.2,133.057,132.118,137.905
Afghanistan,AFG,"Consumer price index (2010=100, December)",111.744,96.9651,109.455,115.679,123.543,132.677,134.413,135.929,142.111
Afghanistan,AFG,Corporate bond average maturity (years),,,,,,,,,
Afghanistan,AFG,Corporate bond issuance volume to GDP (%),,,,,,,,,
Afghanistan,AFG,Credit card (% age 15+),,,,0.825734,,,1.38593,,
Afghanistan,AFG,Credit to government and state-owned enterprises to GDP (%),,,,,,,,,
Afghanistan,AFG,Debit card (% age 15+),,,,4.70829,,,1.65857,,
Afghanistan,AFG,Deposit money bank assets to deposit money bank assets and central bank assets (%),,89.032,84.3956,83.2584,65.6114,57.9573,59.532,59.8026,62.7192
Afghanistan,AFG,Deposit money banks'' assets to GDP (%),9.07368,9.32657,10.0871,7.46427,4.07426,3.99178,3.82615,3.60088,3.48655
Afghanistan,AFG,Depositing/withdrawing at least once in a typical month (% age 15+),,,,7.54709,,,,,
Afghanistan,AFG,Domestic credit to private sector (% of GDP),9.31348,10.5258,11.5169,4.92457,4.33508,4.29655,3.91831,3.96464,3.59848
Afghanistan,AFG,Electronic payments used to make payments (% age 15+),,,,0.212297,,,3.77549,,
Afghanistan,AFG,External loans and deposits of reporting banks vis-à-vis all sectors (% of domestic bank deposits),107.63,109.057,89.9314,97.3381,114.975,122.064,105.862,83.3668,75.2606
Afghanistan,AFG,External loans and deposits of reporting banks vis-à-vis the banking sector (% of domestic bank deposits),99.3728,102.254,84.5348,91.5369,108.514,117.416,101.643,76.6815,68.4245
Afghanistan,AFG,External loans and deposits of reporting banks vis-à-vis the nonbanking sectors (% of domestic bank deposits),8.25754,6.8031,5.39663,5.80118,6.46106,4.51571,4.2198,6.68338,6.77418
Afghanistan,AFG,Financial system deposits to GDP (%),13.904,15.4208,16.9758,17.4011,16.6271,17.1114,16.9033,16.4549,16.5902
Afghanistan,AFG,Firms identifying access to finance as a major constraint (%),36.6,,,,,,47.6,,
Afghanistan,AFG,Firms not needing a loan (%),49.9,,,,,,45,,
Afghanistan,AFG,Firms using banks to finance investments (%),1.4,,,,,,2,,
Afghanistan,AFG,Firms using banks to finance working capital (%),2.5,,,,,,3.9,,
Afghanistan,AFG,Firms whose recent loan application was rejected (%),,,,,,,35.3,,
Afghanistan,AFG,Firms with a bank loan or line of credit (%),3.4,,,,,,5.1,,
Afghanistan,AFG,Firms with a checking or savings account (%),73.1,,,,,,43.7,,
Afghanistan,AFG,Foreign bank assets among total bank assets (%),,,,,,,,,
Afghanistan,AFG,Foreign banks among total banks (%),,,,,,,,,
Afghanistan,AFG,GDP at market prices (constant 2005 US$),,,,,,,,,
Afghanistan,AFG,GDP at market prices (current US$),10000000000,12000000000,16000000000,18000000000,21000000000,20000000000,21000000000,19000000000,19000000000
Afghanistan,AFG,GDP per capita (constant 2005 US$),444.95,524.824,553.3,569.233,630.427,633.658,630.32,620.057,617.89
Afghanistan,AFG,GDP per capita (current US$),,,,,,,,,
Afghanistan,AFG,Global leasing volume to GDP (%),,,,,,,,,
Afghanistan,AFG,Gross National Income (current US$),10000000000,13000000000,16000000000,18000000000,21000000000,21000000000,21000000000,19000000000,20000000000
Afghanistan,AFG,Gross portfolio debt assets to GDP (%),,,,,,,,,
Afghanistan,AFG,Gross portfolio debt liabilities to GDP (%),,,,,,,,,
Afghanistan,AFG,Gross portfolio equity assets to GDP (%),,,,,,,,,
Afghanistan,AFG,Gross portfolio equity liabilities to GDP (%),,,,,,,,,
Afghanistan,AFG,H-statistic,,,,,,,,,
Afghanistan,AFG,Insurance company assets to GDP (%),,,,,,,,,
Afghanistan,AFG,International debt issues to GDP (%),,,,,,,,,
Afghanistan,AFG,Investments financed by banks (%),0.7,,,,,,1.5,,
Afghanistan,AFG,Investments financed by equity or stock sales (%),8.2,,,,,,9.6,,
Afghanistan,AFG,Lerner index,0.442894,0.192007,0.229701,0.21352,0.308636,0.338668,,,
Afghanistan,AFG,Life insurance premium volume to GDP (%),,,,,,,,,
Afghanistan,AFG,Liquid assets to deposits and short term funding (%),42.0041,54.1551,62.5558,60.815,65.1001,61.2783,60.4318,67.3197,69.0386
Afghanistan,AFG,Liquid liabilities in millions USD (2000 constant),3030.51,4211.24,5671.02,6167.87,6199.53,6180,6497.23,5649.27,6182.69
Afghanistan,AFG,Liquid liabilities to GDP (%),27.7575,28.0904,31.1278,33.1948,31.0544,31.5832,32.6134,32.5265,32.6689
Afghanistan,AFG,Loan from a financial institution in the past year (% age 15+),,,,7.40219,,,3.58803,,
Afghanistan,AFG,Loan from a private lender in the past year (% age 15+),,,,6.3617,,,7.64811,,
Afghanistan,AFG,Loan from an employer in the past year (% age 15+),,,,7.99034,,,,,
Afghanistan,AFG,Loan from family or friends in the past year (% age 15+),,,,30.2198,,,22.2942,,
Afghanistan,AFG,Loan in the past year (% age 15+),,,,44.2469,,,34.8615,,
Afghanistan,AFG,Loan through store credit in the past year (% age 15+),,,,8.75637,,,3.28304,,
Afghanistan,AFG,Loans from nonresident banks (amounts outstanding) to GDP (%),0.716351,0.961003,0.608655,0.352543,0.258451,0.748412,,,
Afghanistan,AFG,Loans from nonresident banks (net) to GDP (%),,,,,,,,,
Afghanistan,AFG,Loans requiring collateral (%),77.8,,,,,,70.7,,
Afghanistan,AFG,Market capitalization excluding top 10 companies to total market capitalization (%),,,,,,,,,
Afghanistan,AFG,Mobile phone used to pay bills (% age 15+),,,,0,,,0,,
Afghanistan,AFG,Mobile phone used to send money (% age 15+),,,,3.04704,,,0,,
Afghanistan,AFG,Mutual fund assets to GDP (%),,,,,,,,,
Afghanistan,AFG,Nonbank financial institutions’ assets to GDP (%),,,,,,,,,
Afghanistan,AFG,Nonfinancial corporate bonds to total bonds and notes outstanding (%),,,,,,,,,
Afghanistan,AFG,Non-life insurance premium volume to GDP (%),,,,,,,,,
Afghanistan,AFG,"Number of listed companies per 1,000,000 people",,,,,,,,,
Afghanistan,AFG,Outstanding domestic private debt securities to GDP (%),,,,,,,,,
Afghanistan,AFG,Outstanding domestic public debt securities to GDP (%),,,,,,,,,
Afghanistan,AFG,Outstanding international private debt securities to GDP (%),,,,,,,,,
Afghanistan,AFG,Outstanding international public debt securities to GDP (%),,,,,,,,,
Afghanistan,AFG,Pension fund assets to GDP (%),,,,,,,,,
Afghanistan,AFG,"Population, total",27000000,28000000,29000000,30000000,31000000,32000000,33000000,34000000,35000000
Afghanistan,AFG,Private credit by deposit money banks and other financial institutions to GDP (%),8.32492,8.98079,10.0855,7.46263,4.073,3.99008,3.82028,3.59156,3.47746
Afghanistan,AFG,Private credit by deposit money banks to GDP (%),8.32492,8.98079,10.0855,7.46263,4.073,3.99008,3.82028,3.59156,3.47746
Afghanistan,AFG,Provisions to nonperforming loans (%),,,,,,,,,
Afghanistan,AFG,Remittance inflows to GDP (%),0.748718,0.855297,2.27154,0.998044,0.995456,1.62467,1.21162,1.77622,1.89034
Afghanistan,AFG,Saved any money in the past year (% age 15+),,,,14.5537,,,25.7693,,
Afghanistan,AFG,Saved at a financial institution in the past year (% age 15+),,,,2.81942,,,3.56639,,
Afghanistan,AFG,Saved using a savings club in the past year (% age 15+),,,,3.2187,,,7.9671,,
Afghanistan,AFG,Small firms with a bank loan or line of credit (%),2.3,,,,,,3.6,,
Afghanistan,AFG,Stock market capitalization to GDP (%),,,,,,,,,
Afghanistan,AFG,"Stock market return (%, year-on-year)",,,,,,,,,
Afghanistan,AFG,Stock market total value traded to GDP (%),,,,,,,,,
Afghanistan,AFG,Stock market turnover ratio (%),,,,,,,,,
Afghanistan,AFG,Stock price volatility,,,,,,,,,
Afghanistan,AFG,Syndicated loan average maturity (years),,,,,,,,,
Afghanistan,AFG,Syndicated loan issuance volume to GDP (%),,,,,,,,,
Afghanistan,AFG,Total factoring volume to GDP (%),,,,,,,,,
Afghanistan,AFG,Value of collateral needed for a loan (% of the loan amount),253.5,,,,,,,,
Afghanistan,AFG,Value traded excluding top 10 traded companies to total value traded (%),,,,,,,,,
Afghanistan,AFG,Working capital financed by banks (%),1,,,,,,1.2,,
Albania,ALB,5-bank asset concentration,92.4311,82.1677,75.1902,75.92,76.6717,76.5369,77.8646,86.9208,88.9377
Albania,ALB,Account at a formal financial institution (% age 15+),,,,28.2681,,,37.9864,,
Albania,ALB,Account used for business purposes (% age 15+),,,,3.31558,,,,,
Albania,ALB,Account used to receive government payments (% age 15+),,,,4.6757,,,,,
Albania,ALB,Account used to receive remittances (% age 15+),,,,5.63926,,,3.75903,,
Albania,ALB,Account used to receive wages (% age 15+),,,,11.1274,,,10.8067,,
Albania,ALB,"ATMs per 100,000 adults",28.6265,32.9414,34.1368,35.2645,35.6792,35.3069,34.5531,34.9792,33.8068
Albania,ALB,"Bank accounts per 1,000 adults",,,,,,,,,1100.51
Albania,ALB,"Bank branches per 100,000 adults",23.4987,24.0059,24.1304,24.0938,24.0173,23.4091,21.9419,21.8514,21.5096
Albania,ALB,Bank capital to total assets (%),8.6,9.6,9.4,8.7,8.6,9.3,9,9.7,
Albania,ALB,Bank concentration (%),73.0772,60.8621,54.7558,55.2641,56.3459,56.5773,59.7316,69.4446,71.0969
Albania,ALB,Bank cost to income ratio (%),53.2212,56.6828,56.449,53.9527,54.1235,56.1509,55.4366,,
Albania,ALB,Bank credit to bank deposits (%),54.7988,62.5829,61.1121,58.7057,57.0606,54.7851,53.6134,52.4851,50.9804
Albania,ALB,Bank deposits to GDP (%),56.569,55.674,57.9516,63.9786,67.8979,69.6809,69.3332,69.0508,67.76
Albania,ALB,Bank lending-deposit spread,6.2169,5.8885,6.40479,6.57035,5.45544,5.6624,6.74389,7.33403,8.82333
Albania,ALB,Bank net interest margin (%),4.73853,4.32977,4.54253,4.44764,4.23761,3.74442,3.70663,3.38865,3.52513
Albania,ALB,Bank noninterest income to total income (%),15.0308,24.5346,15.6986,14.7031,13.8962,17.1845,14.2688,,
Albania,ALB,Bank non-performing loans to gross loans (%),6.6,10.5,14,18.8,22.5,23.5,22.8,18.2,
Albania,ALB,Bank overhead costs to total assets (%),2.53771,2.80993,2.5985,2.41106,2.2935,2.17007,2.03674,1.7873,1.95167
Albania,ALB,Bank regulatory capital to risk-weighted assets (%),17.2,16.2,15.4,15.6,16.2,17.9,16.8,15.7,
Albania,ALB,"Bank return on assets (%, after tax)",1.47196,1.05573,1.0517,0.94993,0.564811,0.473714,0.693912,0.038301,1.00997
Albania,ALB,"Bank return on assets (%, before tax)",1.67584,1.17445,1.1932,1.0201,0.64028,0.605524,0.891769,0.217064,1.25965
Albania,ALB,"Bank return on equity (%, after tax)",17.5208,10.5766,9.84887,8.4244,4.75357,3.91906,5.81927,0.310073,7.76085
Albania,ALB,"Bank return on equity (%, before tax)",19.9475,11.766,11.174,9.04667,5.38874,5.00954,7.47854,1.7573,9.67947
Albania,ALB,Bank Z-score,13.728,14.4901,15.0539,15.8572,15.9798,15.8123,15.7207,16.5927,17.55
Albania,ALB,"Banking crisis dummy (1=banking crisis, 0=none)",0,0,0,0,,,,,
Albania,ALB,Boone indicator,-0.100845,-0.080974,-0.081432,-0.070147,-0.054844,-0.039506,-0.046237,,
Albania,ALB,Central bank assets to GDP (%),7.58514,7.31854,6.12493,5.32827,5.24621,5.13613,5.11623,5.29517,4.48581
Albania,ALB,Checks used to make payments (% age 15+),,,,2.61588,,,,,
Albania,ALB,Consolidated foreign claims of BIS reporting banks to GDP (%),45.0186,55.2631,52.9641,54.2399,55.9182,57.5358,48.7922,49.9386,46.6004
Albania,ALB,"Consumer price index (2010=100, average)",94.4164,96.5696,100,103.45,105.552,107.597,109.326,111.414,112.834
Albania,ALB,"Consumer price index (2010=100, December)",95.3951,98.9575,102.292,104.014,106.546,108.521,109.251,111.367,113.791
Albania,ALB,Corporate bond average maturity (years),,,,,,,,,
Albania,ALB,Corporate bond issuance volume to GDP (%),,,,,,,,,
Albania,ALB,Credit card (% age 15+),,,,10.5931,,,5.66191,,
Albania,ALB,Credit to government and state-owned enterprises to GDP (%),25.3362,24.9237,24.273,25.2786,24.7479,26.0014,26.2526,24.0179,24.6343
Albania,ALB,Debit card (% age 15+),,,,21.124,,,21.8437,,
Albania,ALB,Deposit money bank assets to deposit money bank assets and central bank assets (%),88.0024,88.9842,90.5808,92.0659,92.3707,92.5061,92.4867,92.0395,92.8796
Albania,ALB,Deposit money banks'' assets to GDP (%),55.6371,59.1184,58.9009,61.8284,63.518,63.4013,62.9795,61.2228,58.5133
Albania,ALB,Depositing/withdrawing at least once in a typical month (% age 15+),,,,26.0605,,,,,
Albania,ALB,Domestic credit to private sector (% of GDP),35.4401,38.214,39.0837,41.1535,40.8038,39.7871,39.2611,37.1514,36.5578
Albania,ALB,Electronic payments used to make payments (% age 15+),,,,3.1844,,,12.2451,,
Albania,ALB,External loans and deposits of reporting banks vis-à-vis all sectors (% of domestic bank deposits),6.66955,7.039,9.76582,10.2699,13.9834,15.7882,14.6184,20.8665,20.5692
Albania,ALB,External loans and deposits of reporting banks vis-à-vis the banking sector (% of domestic bank deposits),5.43445,5.54769,8.52159,9.2999,13.1016,14.019,12.7118,19.1303,15.2471
Albania,ALB,External loans and deposits of reporting banks vis-à-vis the nonbanking sectors (% of domestic bank deposits),1.2351,1.49131,1.24424,0.970003,0.881782,1.76694,1.8846,1.72348,5.3097
Albania,ALB,Financial system deposits to GDP (%),56.569,55.674,57.9516,63.9786,67.8979,69.6809,69.3332,69.0508,67.76
Albania,ALB,Firms identifying access to finance as a major constraint (%),,,,,,6.4,,,
Albania,ALB,Firms not needing a loan (%),,,,,,64,,,
Albania,ALB,Firms using banks to finance investments (%),,,,,,11.2,,,
Albania,ALB,Firms using banks to finance working capital (%),,,,,,23.1,,,
Albania,ALB,Firms whose recent loan application was rejected (%),,,,,,3.9,,,
Albania,ALB,Firms with a bank loan or line of credit (%),,,,,,28.2,,,
Albania,ALB,Firms with a checking or savings account (%),,,,,,73.4,,,
Albania,ALB,Foreign bank assets among total bank assets (%),94,92,90,90,90,89,,,
Albania,ALB,Foreign banks among total banks (%),85,85,85,85,85,85,,,
Albania,ALB,GDP at market prices (constant 2005 US$),,,,,,,,,
Albania,ALB,GDP at market prices (current US$),13000000000,12000000000,12000000000,13000000000,12000000000,13000000000,13000000000,11000000000,12000000000
Albania,ALB,GDP per capita (constant 2005 US$),3775.38,3928.34,4094.36,4210.08,4276.92,4327.64,4413.56,4524.64,4683.8
Albania,ALB,GDP per capita (current US$),,,,,,,,,
Albania,ALB,Global leasing volume to GDP (%),,,,,,,,,
Albania,ALB,Gross National Income (current US$),13000000000,12000000000,12000000000,13000000000,12000000000,13000000000,13000000000,12000000000,12000000000
Albania,ALB,Gross portfolio debt assets to GDP (%),1.19274,1.23349,2.01967,2.46259,3.91892,5.0836,5.7305,4.5418,6.05305
Albania,ALB,Gross portfolio debt liabilities to GDP (%),0.795949,0.870037,4.10945,5.09812,5.87502,5.97435,5.23028,5.7532,5.15963
Albania,ALB,Gross portfolio equity assets to GDP (%),0.007519,0.003278,0.005113,0.091165,0.246866,0.261768,0.215155,0.246444,0.261439
Albania,ALB,Gross portfolio equity liabilities to GDP (%),0.774121,0.805952,0.82493,0.872742,1.08526,1.10578,0.407935,0.314683,0.275655
Albania,ALB,H-statistic,,,0.49,0.484,0.479,0.46,0.62,,
Albania,ALB,Insurance company assets to GDP (%),1.44,1.42,1.46,1.49,1.55,1.65,1.75,1.93,2.02
Albania,ALB,International debt issues to GDP (%),1.99003,2.09852,5.40969,4.99186,5.26707,5.21498,4.71282,6.61045,6.12648
Albania,ALB,Investments financed by banks (%),,,,,,4.5,,,
Albania,ALB,Investments financed by equity or stock sales (%),,,,,,12,,,
Albania,ALB,Lerner index,0.26373,0.246636,0.253739,0.268403,0.25735,0.242361,,,
Albania,ALB,Life insurance premium volume to GDP (%),0.045414,0.061025,0.066153,0.079203,0.064612,0.072134,0.074479,0.069445,0.061736
Albania,ALB,Liquid assets to deposits and short term funding (%),21.1015,21.9692,23.4257,17.7876,19.0804,21.0908,17.9148,21.7423,23.7158
Albania,ALB,Liquid liabilities in millions USD (2000 constant),9673.93,7154.22,7671.17,8068.79,8560.21,9045.32,8300.12,7703.4,7783.58
Albania,ALB,Liquid liabilities to GDP (%),72.7946,64.8983,58.9843,65.1773,69.2884,71.4742,72.1086,72.8941,72.84
Albania,ALB,Loan from a financial institution in the past year (% age 15+),,,,7.53303,,,10.231,,
Albania,ALB,Loan from a private lender in the past year (% age 15+),,,,2.05477,,,2.21186,,
Albania,ALB,Loan from an employer in the past year (% age 15+),,,,1.20502,,,,,
Albania,ALB,Loan from family or friends in the past year (% age 15+),,,,10.7483,,,44.3593,,
Albania,ALB,Loan in the past year (% age 15+),,,,20.4305,,,56.7802,,
Albania,ALB,Loan through store credit in the past year (% age 15+),,,,2.4533,,,7.48656,,
Albania,ALB,Loans from nonresident banks (amounts outstanding) to GDP (%),2.01066,2.15041,5.53368,5.01906,5.31665,5.25975,4.70962,6.6077,6.17842
Albania,ALB,Loans from nonresident banks (net) to GDP (%),,,3.41244,,,,,1.46446,
Albania,ALB,Loans requiring collateral (%),,,,,,90.9,,,
Albania,ALB,Market capitalization excluding top 10 companies to total market capitalization (%),,,,,,,,,
Albania,ALB,Mobile phone used to pay bills (% age 15+),,,,22.7068,,,0.095369,,
Albania,ALB,Mobile phone used to send money (% age 15+),,,,24.2257,,,0.213517,,
Albania,ALB,Mutual fund assets to GDP (%),,0.01,0.01,,1.21,3.74,4.57,4.69,4.44
Albania,ALB,Nonbank financial institutions’ assets to GDP (%),,1.30657,1.4292,1.67162,2.29262,4.07054,5.5979,5.98289,5.72801
Albania,ALB,Nonfinancial corporate bonds to total bonds and notes outstanding (%),,,,,,,,,
Albania,ALB,Non-life insurance premium volume to GDP (%),0.57626,0.587336,0.552279,0.49027,0.556747,0.525014,0.725662,0.831404,0.859256
Albania,ALB,"Number of listed companies per 1,000,000 people",,,,,,,,,
Albania,ALB,Outstanding domestic private debt securities to GDP (%),,,,,,,,,
Albania,ALB,Outstanding domestic public debt securities to GDP (%),,,,,,,,,
Albania,ALB,Outstanding international private debt securities to GDP (%),,,,,,,,,
Albania,ALB,Outstanding international public debt securities to GDP (%),1.99003,2.09852,5.40969,4.99186,5.26707,5.21498,4.71282,6.61045,6.12648
Albania,ALB,Pension fund assets to GDP (%),0.01,0.02,0.03,0.01,0.02,0.03,0.04,0.06,0.09
Albania,ALB,"Population, total",2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000
Albania,ALB,Private credit by deposit money banks and other financial institutions to GDP (%),30.9991,35.4749,36.7898,39.1601,40.4447,39.9255,38.905,37.9371,36.3084
Albania,ALB,Private credit by deposit money banks to GDP (%),30.9991,34.8424,35.4154,37.5591,38.743,38.1747,37.1719,36.2413,34.5443
Albania,ALB,Provisions to nonperforming loans (%),42.8,51.3,52.7,51.8,55.4,65.2,67.1,70.8,
Albania,ALB,Remittance inflows to GDP (%),14.4828,14.2486,13.3054,12.0327,11.5285,10.0335,10.7387,11.3319,10.9878
Albania,ALB,Saved any money in the past year (% age 15+),,,,22.7446,,,38.3738,,
Albania,ALB,Saved at a financial institution in the past year (% age 15+),,,,8.56161,,,7.48274,,
Albania,ALB,Saved using a savings club in the past year (% age 15+),,,,3.04058,,,3.19534,,
Albania,ALB,Small firms with a bank loan or line of credit (%),,,,,,20.1,,,
Albania,ALB,Stock market capitalization to GDP (%),,,,,,,,,
Albania,ALB,"Stock market return (%, year-on-year)",,,,,,,,,
Albania,ALB,Stock market total value traded to GDP (%),,,,,,,,,
Albania,ALB,Stock market turnover ratio (%),,,,,,,,,
Albania,ALB,Stock price volatility,,,,,,,,,
Albania,ALB,Syndicated loan average maturity (years),,,,,,,,,
Albania,ALB,Syndicated loan issuance volume to GDP (%),,,,,,,,,
Albania,ALB,Total factoring volume to GDP (%),,,,,,,,,
Albania,ALB,Value of collateral needed for a loan (% of the loan amount),,,,,,255.2,,,
Albania,ALB,Value traded excluding top 10 traded companies to total value traded (%),,,,,,,,,
Albania,ALB,Working capital financed by banks (%),,,,,,8.6,,,
Algeria,DZA,5-bank asset concentration,91.9205,89.7503,89.2908,89.4093,87.6637,86.8256,87.5241,82.077,81.4876
Algeria,DZA,Account at a formal financial institution (% age 15+),,,,33.2861,,,50.4758,,
Algeria,DZA,Account used for business purposes (% age 15+),,,,7.46521,,,,,
Algeria,DZA,Account used to receive government payments (% age 15+),,,,17.363,,,,,
Algeria,DZA,Account used to receive remittances (% age 15+),,,,1.80737,,,1.55494,,
Algeria,DZA,Account used to receive wages (% age 15+),,,,8.90956,,,15.6117,,
Algeria,DZA,"ATMs per 100,000 adults",4.17928,5.30143,5.89581,6.0697,6.17905,6.48133,7.46715,8.23633,8.6686
Algeria,DZA,"Bank accounts per 1,000 adults",325.896,257.028,270.556,285.161,300.173,331.767,,,
Algeria,DZA,"Bank branches per 100,000 adults",5.21223,5.14242,5.03236,5.15662,5.20012,5.19231,5.18849,5.23427,5.23446
Algeria,DZA,Bank capital to total assets (%),,5.8,7.87549,7.93215,7.86879,7.47774,7.80447,8.82632,9.84411
Algeria,DZA,Bank concentration (%),74.0033,70.9931,71.0224,71.067,69.5604,66.8734,66.8067,63.0334,62.798
Algeria,DZA,Bank cost to income ratio (%),31.1961,39.156,36.9396,37.7433,38.2083,36.4365,32.6042,,
Algeria,DZA,Bank credit to bank deposits (%),28.2735,30.8909,33.5823,32.7347,32.8609,36.0178,37.4888,40.1679,46.1927
Algeria,DZA,Bank deposits to GDP (%),41.8924,49.2228,42.6405,40.1445,40.8653,41.983,45.7084,50.5623,47.789
Algeria,DZA,Bank lending-deposit spread,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,
Algeria,DZA,Bank net interest margin (%),3.199,2.41918,2.26416,2.42665,2.81995,3.22691,3.19589,3.2603,3.82489
Algeria,DZA,Bank noninterest income to total income (%),21.7521,42.4307,39.4075,38.589,31.8387,27.6338,24.3372,,
Algeria,DZA,Bank non-performing loans to gross loans (%),,21.1,18.31,14.3983,11.7264,10.564,9.20777,9.81216,11.4414
Algeria,DZA,Bank overhead costs to total assets (%),0.970259,1.3271,1.10383,1.21341,1.2604,1.25018,1.04436,1.76112,1.55965
Algeria,DZA,Bank regulatory capital to risk-weighted assets (%),,26.2,23.6364,23.7746,23.6158,21.4875,15.9811,18.6918,18.9049
Algeria,DZA,"Bank return on assets (%, after tax)",1.0791,1.36961,1.49406,1.60614,1.4557,1.24086,1.18849,1.16077,1.30918
Algeria,DZA,"Bank return on assets (%, before tax)",1.42358,1.89798,1.96898,2.07753,1.93192,1.66998,1.54027,1.56597,1.75916
Algeria,DZA,"Bank return on equity (%, after tax)",18.7261,17.9327,16.0042,16.3037,14.2262,11.707,11.6177,11.4801,11.878
Algeria,DZA,"Bank return on equity (%, before tax)",24.704,24.8507,21.0914,21.0888,18.8801,15.7556,15.0564,15.4875,15.9606
Algeria,DZA,Bank Z-score,12.0966,16.8912,18.3336,18.9736,19.5271,19.5815,17.9358,19.0771,21.066
Algeria,DZA,"Banking crisis dummy (1=banking crisis, 0=none)",0,0,0,0,,,,,
Algeria,DZA,Boone indicator,-0.019007,-0.014319,-0.02096,-0.016191,-0.02049,-0.014452,-0.009083,,
Algeria,DZA,Central bank assets to GDP (%),0.062719,0.069788,0.069952,0.065982,0.065846,0.053861,0.041514,0.043288,0.03798
Algeria,DZA,Checks used to make payments (% age 15+),,,,16.9698,,,,,
Algeria,DZA,Consolidated foreign claims of BIS reporting banks to GDP (%),4.14092,5.42449,5.32234,4.84453,5.68994,6.025,5.63935,5.4539,5.69391
Algeria,DZA,"Consumer price index (2010=100, average)",91.0115,96.2398,100,104.524,113.818,117.522,120.95,126.737,134.845
Algeria,DZA,"Consumer price index (2010=100, December)",93.3935,98.8035,101.461,106.695,116.333,117.669,123.849,129.252,138.244
Algeria,DZA,Corporate bond average maturity (years),,,,,,,,,
Algeria,DZA,Corporate bond issuance volume to GDP (%),,,,,,,,,
Algeria,DZA,Credit card (% age 15+),,,,1.1603,,,6.07482,,
Algeria,DZA,Credit to government and state-owned enterprises to GDP (%),17.6362,23.5573,21.9333,21.8279,21.9777,23.3478,27.9527,33.4244,37.7271
